"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"225","ANM5_HUMAN",0.00324982929574922,0.0297262333591272,7.67335937207593e-06,1.55016223577318e-05,"time12",1.01448898355722
"235","PSA7_HUMAN",0.000169897451996803,0.00630588911920646,0.000469359939543325,0.000210176383418224,"time0",-1.15909414208625
"240","MGST3_HUMAN",0.000556247323105197,0.012050317530131,1.90862885303637e-06,8.72579080205311e-06,"time12",2.19274929867361
"243","GIPC1_HUMAN",0.000951774418354035,0.0154179762251497,2.48907150258489e-05,4.86916906402625e-05,"time12",0.968067919116216
"245","IKKB_HUMAN",0.00305272204169637,0.0284904824297694,5.72188438134421e-05,2.39528909150049e-05,"time0",-1.25629055851014
"250","ML12B_HUMAN",0.00158328376710415,0.0197540555897754,0.000516517998777868,0.000883799600648659,"time12",0.774900656549664
"265","PLXB2_HUMAN",0.00229702814267343,0.0249745094267465,1.81954733776683e-05,3.14449524704092e-05,"time12",0.789248869774168
"278","FYB1_HUMAN",0.00211808265174345,0.0237806535316986,3.36831119141093e-05,1.19168710563203e-05,"time0",-1.49901994676225
"283","SCAM2_HUMAN",0.00402895506219561,0.033728160269308,1.27152155050061e-05,2.28190789739077e-05,"time12",0.843684648705463
"284","ARC1B_HUMAN",1.41933560371399e-06,0.000941965728998185,0.000176003144137697,0.00040334105732528,"time12",1.19639906803823
"285","ARPC2_HUMAN",8.00937414169312e-08,0.000305953435599804,0.00049143470205614,0.00090759525257423,"time12",0.885049327187768
"286","ARPC3_HUMAN",8.32602381706239e-07,0.00082885567098856,0.00021030025937978,0.000354120730074658,"time12",0.75179067148618
"290","PGRC2_HUMAN",6.28661364316941e-05,0.0039526256095422,1.37370969425008e-05,2.81225084048289e-05,"time12",1.03364813028161
"293","VILL_HUMAN",0.000517342789061788,0.0118394194600232,1.39151930420983e-05,5.48772430855112e-05,"time12",1.97954708247314
"313","HMGB3_HUMAN",0.000168126444130977,0.00630588911920646,2.69643797135192e-07,1.32849134076161e-05,"time12",5.62259016741799
"320","TMPS2_HUMAN",0.00258189966306281,0.0259188011554187,3.08174606186901e-06,1.05271539457448e-05,"time12",1.77229555850502
"325","CAN5_HUMAN",0.00021767543458837,0.00730435601570973,1.37874516479791e-05,4.67422787384935e-05,"time12",1.76137224248204
"328","CFLAR_HUMAN",0.00347893704176756,0.0309779118718051,5.09333833116836e-06,2.30697961188527e-06,"time0",-1.14260629903842
"342","DC1L2_HUMAN",0.00113098731020962,0.016825109315811,3.66318273027484e-06,1.04430053264418e-05,"time12",1.51136738193561
"343","KLK10_HUMAN",0.00431368645841512,0.0349221893754409,2.93312447677724e-05,7.19702993054595e-05,"time12",1.29496336025277
"344","PSMD3_HUMAN",6.43171561402621e-05,0.00400173305860193,1.54329998399388e-05,5.56104391819476e-05,"time12",1.84933721308784
"345","PAPS1_HUMAN",0.000877438473362198,0.0148049152581706,6.73124146629083e-06,2.64127439164274e-05,"time12",1.97228966946709
"348","SPIT1_HUMAN",0.00313277412790108,0.0290109455286096,2.53610699010541e-06,7.55480558024911e-06,"time12",1.57477901934377
"359","TXNL1_HUMAN",1.85726328226999e-05,0.00216419676778043,1.07617999906642e-05,3.92195528215284e-05,"time12",1.86565368662539
"370","ARK72_HUMAN",0.000418396666646004,0.0105551069650365,6.25477177456187e-05,9.78260606587481e-05,"time12",0.645261603343206
"374","LTOR5_HUMAN",0.00298700109124184,0.0283232790562393,3.41742048170196e-05,1.95901952174022e-05,"time0",-0.802775994636674
"375","B4GA1_HUMAN",0.00197281316860762,0.0227871046678546,3.34197857515126e-06,8.7605434173736e-06,"time12",1.39031787855857
"380","RGS14_HUMAN",0.000540753040849622,0.012050317530131,0.000139605176947917,4.37602937313559e-05,"time0",-1.67365811463178
"381","RNF13_HUMAN",9.90256667137147e-05,0.00492900256067515,4.93420491210258e-05,1.67951353918348e-05,"time0",-1.55477420469954
"386","DNPH1_HUMAN",7.58823816452192e-05,0.00430701632721261,7.93097362172304e-06,2.21747977288879e-05,"time12",1.48335105484452
"400","BUB3_HUMAN",0.000187054402001562,0.00675270395048261,5.8871698489016e-06,1.76870901757806e-05,"time12",1.58705056380951
"409","AP1G1_HUMAN",0.00602998215296531,0.0424607496668727,2.59309523150042e-05,4.34185463713199e-05,"time12",0.743636235954528
"416","SYNC_HUMAN",5.14462590217591e-06,0.00146327859589032,7.11662576281634e-05,0.00012562231575971,"time12",0.819827492724842
"420","LANC1_HUMAN",0.000797897577285767,0.014156736574442,2.18686981186709e-05,3.779560398884e-05,"time12",0.789351107356051
"427","CALU_HUMAN",0.00145747698843479,0.0189678336198932,3.37737540701241e-05,6.7692140347715e-05,"time12",1.00308578512808
"428","SAHH2_HUMAN",0.00127362695713335,0.0177328060954721,1.72691191533089e-05,3.02735611091656e-05,"time12",0.809863893666522
"440","GMFG_HUMAN",4.96841967105866e-05,0.0035754663488233,0.000393408222953984,0.000232549753156321,"time0",-0.758487704414642
"442","KPRB_HUMAN",0.00376138998044069,0.0326078118333414,2.05458655907282e-05,3.66947392726941e-05,"time12",0.836725134403393
"450","MAST3_HUMAN",0.000800756952014182,0.014156736574442,5.55796702139378e-05,2.04015982127587e-05,"time0",-1.44587510029925
"458","LY75_HUMAN",0.00444709310569886,0.0355029406321593,3.48453707770771e-06,1.056617746719e-05,"time12",1.6004146351326
"459","NRP2_HUMAN",0.000891901377059125,0.0150065547188004,6.03914869899834e-07,7.36464138996843e-06,"time12",3.60819817582345
"463","SNX3_HUMAN",0.000331374608897087,0.00929249079315635,0.000133845307792716,5.51263651505968e-05,"time0",-1.27975218022891
"473","PLOD3_HUMAN",0.00534099252506721,0.0396707966175359,3.93821593023515e-06,1.60864478768426e-05,"time12",2.03023167234158
"485","UGDH_HUMAN",2.36667692661286e-05,0.00239595953943366,6.17298094277736e-05,0.000167926077855825,"time12",1.44378704647779
"486","CTND1_HUMAN",0.00178440046863845,0.0213591663310169,1.35945335477407e-05,4.71638978994996e-05,"time12",1.79465630515654
"498","DKC1_HUMAN",0.000665700801382122,0.0129684755451225,2.22865866850832e-06,1.10836461986742e-05,"time12",2.3141849825196
"504","CUTA_HUMAN",0.00103816948831081,0.0161385050053329,5.90705260054388e-05,3.15433461246191e-05,"time0",-0.905102749155599
"527","NPHP4_HUMAN",0.00535526358980952,0.0396707966175359,1.05024164382518e-07,5.406970277376e-06,"time12",5.68602721353176
"531","DNJB6_HUMAN",0.00159408250364503,0.0197540555897754,1.52604820561717e-05,3.40479869005912e-05,"time12",1.15776896539281
"537","ZPR1_HUMAN",0.00680165181287544,0.0460615263926361,1.62290776305004e-07,1.54755519346145e-06,"time12",3.25333795133148
"538","UBP12_HUMAN",0.00252617426850217,0.0259188011554187,8.7411677369053e-08,1.41081659542486e-06,"time12",4.0125606182202
"548","H2AY_HUMAN",1.39661133289337e-05,0.00193999057938886,0.000246660769517514,0.000467416932400029,"time12",0.922181718803018
"550","FLNB_HUMAN",2.68854200839997e-05,0.00263256744527426,9.00916634786757e-05,0.000221378501654909,"time12",1.29704960767387
