FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Ruthenibacterium_lactatiformans,0.003019148333872533,0.0029687442773093553,5.475543902429409e-4,2.900410381482721e-4,0,4.5826077117212706e-5,0.0059051386002958745,0.0015613521046814423,2.877724080969456e-4,4.809399594033337e-4,0,0.0012795456992705653,3.421815305242804e-4,0.0035295814466823534,0.0019885457194730003,9.889746747979691e-4,0,0
Roseburia_faecis,0.0026718699450016177,6.50447898422854e-6,4.1234393661027074e-5,1.5650778952310773e-5,0,0,0,0,0,8.010653065734075e-5,0,5.504940129239055e-4,0,2.9958507164149157e-4,0,6.072440692562663e-4,0,0
Actinomyces_oris,0,0,0,0,0,0,0,0,0,2.8553616935182285e-4,5.925835732589203e-4,2.12333404984935e-4,0,0,2.630096339082709e-4,0,0,0
Bacteroides_fragilis,0.049365395503073436,0,0,0,1.0783694082495969e-4,2.744517702240118e-4,5.9548459994480975e-5,0,2.4198132505366424e-4,0,0,0,0.006940607618239575,0,0.0032830996318266976,0,0,0
Romboutsia_timonensis,0,0,1.5470888784447368e-4,4.268850284748868e-4,6.589697754824767e-4,0.002720191524739571,4.709650545937871e-5,0.0010481345576675357,0,0.01241220113697134,3.875124076566444e-5,0.011494335154467007,0.0018508491574815561,0.004706176024131871,0,0,0,0.00226629314761058
Blautia_massiliensis,0.007527195891297315,0.003450375928864616,0.0011105583595061633,0.00380033017124059,0,0,0.0097540979984888955,0.0614565144262576,0.0013805460441363917,0.09635241579841146,0.05093485115368051,0.009708052658684437,0.0021022937619744357,0.0395363288873641,0.0030877009542286888,3.1784180010214195e-4,0.0012946091362358565,3.99298315771713e-5
Streptococcus_parasanguinis,0,0,9.706597577569938e-5,2.026575223312036e-5,0.003791000060550695,0.009273623367988548,2.5104747046577138e-5,9.564921716914046e-4,0,0,0.029732415172582707,5.464610897523019e-5,0.0011038806863639791,1.1884282889221897e-4,1.4767920620517886e-5,4.2989755760507105e-4,0.0010600689967479992,0
Abiotrophia_defectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.806681286988915e-5,1.728296642657729e-4,1.0607925180902652e-5
Abiotrophia_sp_HMSC24B09,0,0,0,0,0,0,0,0,0,0,0,0,6.56743027194583e-5,0,0,0,0.0012914832788308165,0
Mogibacterium_diversum,0,0,0,0,5.528541754969764e-5,0,0,0,0,1.2031018371565571e-5,1.902515696505489e-5,3.024692378702778e-5,0,5.623541520346701e-5,0,0,2.4331270704393816e-4,0
Escherichia_coli,0.023542542866386282,4.8233213390740866e-5,0.10797977149326787,0.02945928063602358,0.01557631200092507,0.0536680897985197,7.692094495071235e-5,8.558672170458068e-5,1.6152128198199038e-4,2.680911927130528e-4,0.004793438363548119,4.208355329568465e-4,0.030212020586541086,2.4425994193592236e-4,0.0026610386489542706,0.0019969757963569363,0.35697392399669303,0
Enterococcus_faecium,0.0010917785506308639,0,0,6.9405185123132e-4,0.001814495755477256,0,0,0,0,0,1.9385633623340143e-4,0,0,1.2845139803669624e-5,0,0,0,0
Actinomyces_SGB17132,0,0,0,0,0,0,0,0,0,0,2.1328202281877326e-4,0,3.621293327521533e-5,0,0,0,0.0038794915419844496,0
Clostridium_saudiense,0,0,1.9349265862642163e-4,0.001146218907244555,0,3.202778473412245e-4,0,0,0,9.88548676196971e-5,1.9525818990451073e-5,0.004593701138615199,0,0.0035050037382391114,1.9459498123770846e-4,0,0,0
Streptococcus_rubneri,0,0,0,0,0,0,0,0,0,1.5279393331888274e-4,0,0,1.0812731771723898e-4,0,0,0,0,1.561166347378126e-4
Clostridium_SGB6173,0,0,0,0,0,0.004562924705029957,0,1.9539610049536344e-4,0,0,0,2.684918601495166e-4,0,8.900569312778951e-6,0,0,0.0027619471026276462,0
Bacteroides_xylanisolvens,0,0,0,6.911424115542879e-4,0,0.0017545129349149588,0,0,0,0,0,0,0,0,0.0017562774713462154,8.246462582990356e-4,0,0
Clostridium_perfringens,0,0,2.055326753801582e-4,7.624738463946273e-6,3.717083659797437e-4,0,0,0,0,0,0,6.563582461785028e-4,0.00934846079177635,0,0,0,0,0
Scardovia_wiggsiae,0,0,0,0,0,7.812639579013797e-5,0,0,0,0,1.6822244053311695e-5,0,0,0,0,0,2.3091011153361725e-5,0
Granulicatella_SGB8255,0,0,0,0,0,6.255158588003682e-4,0,0,0,8.221195887236473e-6,0,9.910908694216102e-5,1.2981415911369562e-4,0,0,0,0.0044116939737200095,0
Roseburia_sp_AF02_12,2.432465221611129e-4,0,2.621100992406372e-5,6.581353200458889e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_naeslundii,0,0,0,0,0,0,0,4.54174820366289e-5,2.1633030260491144e-4,5.497172810941169e-4,9.986204758552233e-4,0,0,0,0.0013939108748958209,0,0,0
