FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Blautia_faecis,Species,Blautia_faecis,0.11044160465868649,0.5533210168522045,0.05451037673638618,0.2394368528691339,0,0,0.05079192422463486,1.0053210112676736,0,1.3822737782550973,0.0033944885321861096,2.4392934157286423,0.4333378718845753,0.7483153649718904,0.07932483076163893,0.33906129520032846,0.0030754403501202297,0.0035426467113580558
Blautia_caecimuris,Species,Blautia_caecimuris,0.5542401326431576,0.13831524387693364,0,0,0,1.6786172798831698,0.4641365633971182,0.11872129804374795,0,0.08758581374499735,0,0.016807207317658435,0,0,0.030962402280568794,0,0,0.015781790575739134
GGB3653_SGB4964,Species,GGB3653_SGB4964,0,0,4.513205607579201,0.5762797396151814,0,0,0,0,0,0,0,0,0.10568243323905355,0,0,0,0,0
Phocaeicola_vulgatus,Species,Phocaeicola_vulgatus,0,0,0.35046038147248126,2.247542150507321,0,0,0,0,0.17425661383057037,0.012853137960289217,0,0,1.1456483153364945,0,0,0,0.0642817450230048,0.08922666123861137
Streptococcus_gordonii,Species,Streptococcus_gordonii,0,0,2.1309764165905462e-4,0,0,0.186312275645267,0,0.021235196045570486,0,0.009303987540677374,0.02467262461152382,0,0,0,0,0,0,0.0018513831683650856
Intestinibacter_bartlettii,Species,Intestinibacter_bartlettii,0,0,1.2785858499543277e-4,0,0.04586867060441947,0,0.0045891477601143005,0.5653870947133143,0,0.3335098551084406,0,0.48968761380405074,0.1411792915624991,1.0940417970734928,0,0,0,0.005093805582150424
Oscillospiraceae_bacterium_CLA_AA_H250,Species,Oscillospiraceae_bacterium_CLA_AA_H250,0.03379771918472986,0.17842286198276133,0.05137784140399808,0.12065145364133932,0,0,0,0,0,2.555358224574598,0,0.07757327720579725,0,0,0.17769726526239482,0,0,0
Tyzzerella_nexilis,Species,Tyzzerella_nexilis,1.9286638628275639,0,0,0,0,0,0,0,0,0,0,0,0.0842001846859597,0.1899158977114209,0,0,0,0.5156952759406552
Alloscardovia_omnicolens,Species,Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004850120683304362,0.0024118018571674896
Dialister_pneumosintes,Species,Dialister_pneumosintes,0,0,0.012743238971211468,0,0,0,0,0,0,0,0,0,0,0,0.007343775492243928,0,0,0
Veillonella_rogosae,Species,Veillonella_rogosae,0,0,0,0,0,0,0,0,0,0.003880003424829896,0,0,0.37160198139985084,0,0,0,0,0.0226669344667401
Streptococcus_oralis,Species,Streptococcus_oralis,0,0,0,0,0.0031389156484260567,0.036721424791281904,0,0,0,0,0,0,0.006812941683981188,0,0,0,0,0
Streptococcus_intermedius,Species,Streptococcus_intermedius,0,0,0,0,0,0.03738761886391098,0,0,0,0.005113182807915367,0,0.0013711938783452593,0.015160329693183365,0,0,2.503479836973393e-4,0,0
Gemella_morbillorum,Species,Gemella_morbillorum,0,0,0,0,0,0,0,0,0,0.0019349887880934626,0,0,1.841335590265186e-4,0,0,0,0,0.0012209121434623806
Fusobacterium_nucleatum,Species,Fusobacterium_nucleatum,0,0,8.204259203873604e-4,0,0,0,0,0,0,0,0,0,0.004224842215441788,0,0,0,0.02783021431584208,0
